Time,,,,,,,Power,Volts,Amps,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,0.496,4.96,0.1,,## offset for analysis script
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,0.496,4.96,0.1,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,1,1,1,,## offset for analysis script
