Time,,,,,,,Power,Volts,Amps
,,,,,,,,,
2018-10-18_22:17:23,,,,,,,0.741,4.94,0.15
2018-10-18_22:17:23,,,,,,,0.8432,4.96,0.17
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:17:23,,,,,,,0.8432,4.96,0.17
2018-10-18_22:17:23,,,,,,,0.8432,4.96,0.17
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:17:23,,,,,,,0.7425,4.95,0.15
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:17:23,,,,,,,0.8432,4.96,0.17
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:17:23,,,,,,,0.7425,4.95,0.15
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:17:23,,,,,,,0.8432,4.96,0.17
2018-10-18_22:17:23,,,,,,,0.8415,4.95,0.17
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:17:23,,,,,,,0.7425,4.95,0.15
2018-10-18_22:17:23,,,,,,,0.8432,4.96,0.17
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:17:23,,,,,,,0.6944,4.96,0.14
2018-10-18_22:17:23,,,,,,,0.8415,4.95,0.17
2018-10-18_22:17:23,,,,,,,0.8432,4.96,0.17
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:17:23,,,,,,,0.8432,4.96,0.17
2018-10-18_22:17:23,,,,,,,0.7425,4.95,0.15
2018-10-18_22:17:23,,,,,,,0.8432,4.96,0.17
2018-10-18_22:17:23,,,,,,,0.8432,4.96,0.17
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:17:23,,,,,,,0.8432,4.96,0.17
2018-10-18_22:17:23,,,,,,,0.8432,4.96,0.17
2018-10-18_22:17:23,,,,,,,0.6944,4.96,0.14
2018-10-18_22:17:23,,,,,,,0.8432,4.96,0.17
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:17:23,,,,,,,0.8432,4.96,0.17
2018-10-18_22:17:23,,,,,,,0.8415,4.95,0.17
2018-10-18_22:17:23,,,,,,,0.7425,4.95,0.15
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:17:23,,,,,,,0.7425,4.95,0.15
2018-10-18_22:17:23,,,,,,,0.8928,4.96,0.18
2018-10-18_22:17:23,,,,,,,0.8432,4.96,0.17
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:17:23,,,,,,,0.8415,4.95,0.17
2018-10-18_22:17:23,,,,,,,0.8432,4.96,0.17
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:17:23,,,,,,,0.7936,4.96,0.16
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:17:23,,,,,,,0.8398,4.94,0.17
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:17:23,,,,,,,0.7425,4.95,0.15
2018-10-18_22:17:23,,,,,,,0.8432,4.96,0.17
2018-10-18_22:17:23,,,,,,,0.8432,4.96,0.17
2018-10-18_22:17:23,,,,,,,0.7425,4.95,0.15
2018-10-18_22:17:23,,,,,,,0.8415,4.95,0.17
2018-10-18_22:17:23,,,,,,,0.7425,4.95,0.15
2018-10-18_22:17:23,,,,,,,0.8432,4.96,0.17
2018-10-18_22:17:23,,,,,,,0.744,4.96,0.15
2018-10-18_22:32:23,,,,,,,0.8432,4.96,0.17
